SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,DENOMINATOR
b'111',1.0,1.0,1.0,4
b'111',1.0,2.0,1.0,1
b'111',2.0,1.0,1.0,6
b'111',2.0,2.0,1.0,2
b'119',1.0,1.0,1.0,1
b'119',2.0,1.0,1.0,1
b'131',1.0,1.0,1.0,7
b'131',1.0,2.0,1.0,3
b'131',2.0,1.0,1.0,12
b'131',2.0,2.0,1.0,4
b'132',1.0,1.0,1.0,7
b'132',1.0,2.0,1.0,1
b'141',1.0,1.0,1.0,5
b'141',2.0,1.0,1.0,7
b'141',2.0,2.0,1.0,2
b'142',1.0,1.0,1.0,5
b'142',1.0,2.0,1.0,1
b'151',1.0,1.0,1.0,5
b'151',1.0,2.0,1.0,2
b'151',2.0,1.0,1.0,8
b'151',2.0,2.0,1.0,3
b'152',2.0,1.0,1.0,9
b'152',2.0,2.0,1.0,2
b'181',1.0,1.0,1.0,4
b'181',1.0,2.0,1.0,1
b'181',2.0,1.0,1.0,5
b'181',2.0,2.0,1.0,2
b'191',1.0,1.0,1.0,2
b'191',1.0,2.0,1.0,1
b'191',2.0,1.0,1.0,6
b'191',2.0,2.0,1.0,2
b'201',1.0,1.0,1.0,7
b'201',1.0,2.0,1.0,4
b'201',2.0,1.0,1.0,9
b'201',2.0,2.0,1.0,3
b'211',1.0,1.0,1.0,3
b'211',1.0,2.0,1.0,2
b'211',2.0,1.0,1.0,6
b'211',2.0,2.0,1.0,2
b'221',1.0,1.0,1.0,5
b'221',1.0,2.0,1.0,1
b'221',2.0,1.0,1.0,3
b'221',2.0,2.0,1.0,3
b'231',1.0,1.0,1.0,3
b'231',1.0,2.0,1.0,1
b'231',2.0,1.0,1.0,1
b'231',2.0,2.0,1.0,2
b'241',1.0,1.0,1.0,9
b'241',1.0,2.0,1.0,3
b'241',2.0,1.0,1.0,6
b'241',2.0,2.0,1.0,2
b'311',1.0,1.0,1.0,2
b'311',1.0,2.0,1.0,2
b'311',2.0,1.0,1.0,5
b'311',2.0,2.0,1.0,1
b'321',1.0,1.0,1.0,2
b'321',1.0,2.0,1.0,1
b'321',2.0,1.0,1.0,2
b'321',2.0,2.0,1.0,1
b'331',1.0,1.0,1.0,1
b'331',1.0,2.0,1.0,1
b'331',2.0,1.0,1.0,2
b'341',1.0,1.0,1.0,2
b'341',1.0,2.0,1.0,1
b'341',2.0,1.0,1.0,2
b'351',1.0,1.0,1.0,5
b'351',1.0,2.0,1.0,1
b'351',2.0,1.0,1.0,2
b'351',2.0,2.0,1.0,2
b'361',1.0,1.0,1.0,2
b'361',1.0,2.0,1.0,1
b'361',2.0,1.0,1.0,2
b'371',1.0,1.0,1.0,4
b'371',2.0,1.0,1.0,1
b'371',2.0,2.0,1.0,1
b'381',1.0,1.0,1.0,3
b'381',1.0,2.0,1.0,1
b'381',2.0,1.0,1.0,2
b'391',1.0,1.0,1.0,2
b'391',1.0,2.0,1.0,2
b'391',2.0,1.0,1.0,3
b'391',2.0,2.0,1.0,1
b'401',2.0,1.0,1.0,1
b'401',2.0,2.0,1.0,1
b'411',1.0,1.0,1.0,4
b'411',1.0,2.0,1.0,1
b'411',2.0,1.0,1.0,3
b'421',1.0,1.0,1.0,3
b'421',2.0,1.0,1.0,2
b'441',1.0,1.0,1.0,3
b'441',1.0,2.0,1.0,1
b'441',2.0,1.0,1.0,2
b'441',2.0,2.0,1.0,2
b'451',1.0,1.0,1.0,1
b'451',2.0,1.0,1.0,1
b'461',1.0,2.0,1.0,1
b'461',2.0,1.0,1.0,1
b'471',1.0,1.0,1.0,1
b'471',2.0,1.0,1.0,1
b'481',1.0,1.0,1.0,2
b'481',2.0,1.0,1.0,2
b'911',1.0,1.0,1.0,10
b'911',2.0,1.0,1.0,6
b'921',2.0,1.0,1.0,1
b'951',1.0,1.0,1.0,1
b'951',2.0,1.0,1.0,1
b'LHR Transi',1.0,1.0,1.0,10
b'LHR Transi',1.0,2.0,1.0,1
b'LHR Transi',2.0,1.0,1.0,4
b'LHR Transi',2.0,2.0,1.0,7
